Gender,Race,MOS_Type,taxnum,ranklit,sex,appdate,YearsOnJob,YearsOnJob (bins)
Male,White,Uniform,960198,POM,Male,01/06/2016,5,5
Male,White,Uniform,960222,POM,Male,01/06/2016,5,5
Male,White,Uniform,960223,POM,Male,01/06/2016,5,5
Male,White,Uniform,960255,POM,Male,01/06/2016,5,5
Male,White,Uniform,960279,POM,Male,01/06/2016,5,5
Male,White,Uniform,960287,POM,Male,01/06/2016,5,5
Male,White,Uniform,960298,POM,Male,01/06/2016,5,5
Male,White,Uniform,960305,POM,Male,01/06/2016,5,5
Male,White,Uniform,960307,POM,Male,01/06/2016,5,5
Male,White,Uniform,960327,POM,Male,01/06/2016,5,5
Male,White,Uniform,960334,POM,Male,01/06/2016,5,5
Male,White,Uniform,960388,POM,Male,01/06/2016,5,5
Male,White,Uniform,960391,POM,Male,01/06/2016,5,5
Male,White,Uniform,960416,POM,Male,01/06/2016,5,5
Male,White,Uniform,960440,POM,Male,01/06/2016,5,5
Male,White,Uniform,960442,POM,Male,01/06/2016,5,5
Male,White,Uniform,960448,POM,Male,01/06/2016,5,5
Male,White,Uniform,960464,POM,Male,01/06/2016,5,5
Male,White,Uniform,960475,POM,Male,01/06/2016,5,5
Male,White,Uniform,960493,POM,Male,01/06/2016,5,5
Male,White,Uniform,960495,POM,Male,01/06/2016,5,5
Male,White,Uniform,960496,POM,Male,01/06/2016,5,5
Male,White,Uniform,960518,POM,Male,01/06/2016,5,5
Male,White,Uniform,960520,POM,Male,01/06/2016,5,5
Male,White,Uniform,960546,POM,Male,01/06/2016,5,5
Male,White,Uniform,960560,POM,Male,01/06/2016,5,5
Male,White,Uniform,960565,POM,Male,01/06/2016,5,5
Male,White,Uniform,960588,POM,Male,01/06/2016,5,5
Male,White,Uniform,960596,POM,Male,01/06/2016,5,5
Male,White,Uniform,960638,POM,Male,01/06/2016,5,5
Male,White,Uniform,960643,POM,Male,01/06/2016,5,5
Male,White,Uniform,960650,POM,Male,01/06/2016,5,5
Male,White,Uniform,960672,POM,Male,01/06/2016,5,5
Male,White,Uniform,960678,POM,Male,01/06/2016,5,5
Male,White,Uniform,960745,POM,Male,01/06/2016,5,5
Male,White,Uniform,960747,POM,Male,01/06/2016,5,5
Male,White,Uniform,960749,POM,Male,01/06/2016,5,5
Male,White,Uniform,960773,POM,Male,01/06/2016,5,5
Male,White,Uniform,960811,POM,Male,01/06/2016,5,5
Male,White,Uniform,960821,POM,Male,01/06/2016,5,5
Male,White,Uniform,960869,POM,Male,01/06/2016,5,5
Male,White,Uniform,960880,POM,Male,01/06/2016,5,5
Male,White,Uniform,960906,POM,Male,01/06/2016,5,5
Male,White,Uniform,960916,POM,Male,01/06/2016,5,5
Male,White,Uniform,960953,POM,Male,01/06/2016,5,5
Male,White,Uniform,960990,POM,Male,01/06/2016,5,5
Male,White,Uniform,961001,POM,Male,01/06/2016,5,5
Male,White,Uniform,961019,POM,Male,01/06/2016,5,5
Male,White,Uniform,961029,POM,Male,01/06/2016,5,5
Male,White,Uniform,961032,POM,Male,01/06/2016,5,5
Male,White,Uniform,961060,POM,Male,01/06/2016,5,5
Male,White,Uniform,961061,POM,Male,01/06/2016,5,5
Male,White,Uniform,961113,POM,Male,01/06/2016,5,5
Male,White,Uniform,961117,POM,Male,01/06/2016,5,5
Male,White,Uniform,961157,POM,Male,01/06/2016,5,5
Male,White,Uniform,961158,POM,Male,01/06/2016,5,5
Male,White,Uniform,961183,POM,Male,01/06/2016,5,5
Male,White,Uniform,961209,POM,Male,01/06/2016,5,5
Male,White,Uniform,961259,POM,Male,01/06/2016,5,5
Male,White,Uniform,961260,POM,Male,01/06/2016,5,5
Male,White,Uniform,961305,POM,Male,01/06/2016,5,5
Male,White,Uniform,961307,POM,Male,01/06/2016,5,5
Male,White,Uniform,961310,POM,Male,01/06/2016,5,5
Male,White,Uniform,961325,POM,Male,01/06/2016,5,5
Male,White,Uniform,961332,POM,Male,01/06/2016,5,5
Male,White,Uniform,961333,POM,Male,01/06/2016,5,5
Male,White,Uniform,961337,POM,Male,01/06/2016,5,5
Male,White,Uniform,961343,POM,Male,01/06/2016,5,5
Male,White,Uniform,961362,POM,Male,01/06/2016,5,5
Male,White,Uniform,961375,POM,Male,01/06/2016,5,5
Male,White,Uniform,961448,POM,Male,01/06/2016,5,5
Male,White,Uniform,961450,POM,Male,01/06/2016,5,5
